0050,jxW50,"1,507,476",473,"115,742,992",76.80,76.90,76.60,76.90,+,0.05,76.85,10,76.90,127,"0.00"","
0051,j100,"9,000",4,"255,150",28.35,28.35,28.35,28.35, ,0.00,28.26,50,28.52,8,"0.00"","
0052,I,"1,000",1,"46,930",46.93,46.93,46.93,46.93,+,0.56,46.82,1,47.09,1,"0.00"","
0053,jql,"11,000",10,"368,590",33.49,33.52,33.49,33.52,-,0.23,33.57,50,33.80,4,"0.00"","
0054,jx50,"17,000",6,"404,110",23.80,23.80,23.76,23.79,-,0.07,23.82,50,23.90,5,"0.00"","
0055,jMSCI,"46,000",20,"685,350",14.90,14.92,14.86,14.92,+,0.01,14.92,201,14.95,1,"0.00"","
0056,j,"1,039,425",347,"25,939,655",24.98,25.00,24.92,24.98,+,0.02,24.97,34,24.98,92,"0.00"","
0057,Ix,"1,000",1,"45,550",45.55,45.55,45.55,45.55,-,0.21,45.35,20,45.54,20,"0.00"","
0058,IoF,"11,000",2,"479,820",43.62,43.62,43.62,43.62,-,0.05,43.44,10,43.75,10,"0.00"","
0059,I,0,0,0,--,--,--,--, ,0.00,34.66,2,34.82,1,"0.00"","
0061,j_`,"2,497,300",631,"39,410,882",15.82,15.83,15.75,15.80,-,0.03,15.78,17,15.80,306,"0.00"","
006203,jMSCIxW,"4,000",1,"141,600",35.40,35.40,35.40,35.40,X,0.00,35.36,50,35.68,20,"0.00"","
006204,OW[v,"2,000",1,"100,300",50.15,50.15,50.15,50.15,-,0.15,50.00,15,50.20,100,"0.00"","
006205,IW,"4,020,004",796,"111,575,875",27.77,27.86,27.63,27.76,-,0.03,27.76,99,27.77,41,"0.00"","
006206,jW50,"1,091,073",250,"29,618,264",27.32,27.32,27.03,27.12,-,0.18,27.11,3,27.12,"2,678","0.00"","
006207,FH`,"936,000",169,"19,374,140",20.83,20.83,20.62,20.70,-,0.13,20.70,68,20.72,1,"0.00"","
006208,Ix50,221,3,"9,965",--,--,--,--, ,0.00,45.15,10,45.28,10,"0.00"","
00625K,IW+R,"50,000",2,"309,000",6.18,6.18,6.18,6.18,-,0.19,6.21,30,6.29,20,"0.00"","
00631L,jxW502,"803,050",252,"24,012,399",29.93,30.00,29.77,29.99,+,0.07,29.99,48,30.00,113,"0.00"","
00632R,jxW501,"64,717,090","3,643","947,066,322",14.64,14.68,14.60,14.60,-,0.02,14.60,"1,055",14.61,112,"0.00"","
00633L,IW2,"37,543,100","6,298","1,386,851,105",37.22,37.40,36.62,36.79,-,0.41,36.79,212,36.80,16,"0.00"","
00634R,IW1,"874,000",154,"7,316,580",8.34,8.41,8.34,8.37,+,0.02,8.37,179,8.39,11,"0.00"","
00635U,jS&P,"751,150",139,"14,962,254",19.90,19.97,19.90,19.91,-,0.11,19.91,7,19.92,31,"0.00"","
00636,A50,"1,581,000",245,"27,137,720",17.28,17.28,17.08,17.14,-,0.13,17.14,30,17.15,20,"0.00"","
00637L,j`3002,"86,251,400","8,890","1,203,344,604",14.06,14.13,13.82,13.89,-,0.15,13.89,138,13.90,35,"0.00"","
00638R,j`3001,"81,000",29,"1,389,350",17.10,17.18,17.09,17.18,+,0.10,17.11,2,17.17,1,"0.00"","
00639,I`100,"7,775,455","1,024","76,182,131",9.80,9.84,9.76,9.79,-,0.03,9.79,68,9.80,38,"0.00"","
00640L,I2,"946,000",91,"18,511,130",19.76,19.76,19.44,19.59,-,0.17,19.59,149,19.63,11,"0.00"","
00641R,I1,"929,000",114,"15,558,290",16.67,16.80,16.67,16.72,+,0.05,16.71,122,16.72,3,"0.00"","
00642U,jS&Po,"19,441,196","4,376","307,791,369",15.84,15.84,15.80,15.84,-,0.38,15.83,206,15.84,947,"0.00"","
00643,sq`p,"1,214,000",283,"16,709,380",13.70,13.82,13.70,13.78,+,0.03,13.78,36,13.79,107,"0.00"","
00643K,sq`p+R,0,0,0,--,--,--,--, ,0.00,3.04,50,3.13,15,"0.00"","
00645,I,"8,500",10,"173,123",20.38,20.38,20.34,20.36,-,0.12,20.38,1,20.44,65,"0.00"","
00646,jS&P500,"140,000",35,"3,059,080",21.76,21.87,21.76,21.87,+,0.03,21.80,49,21.88,20,"0.00"","
00647L,jS&P5002,"3,000",1,"78,870",26.29,26.29,26.29,26.29,-,0.01,26.18,50,26.30,2,"0.00"","
00648R,jS&P5001,"418,000",101,"6,521,100",15.58,15.62,15.58,15.60,+,0.02,15.60,19,15.61,11,"0.00"","
00649,FH,"122,000",13,"2,225,520",18.36,18.36,18.22,18.24,-,0.09,18.22,62,18.26,4,"0.00"","
00650L,FH2,"804,000",50,"20,640,620",25.93,25.93,25.63,25.69,-,0.24,25.69,1,25.72,10,"0.00"","
00651R,FH1,"104,000",21,"1,068,410",10.30,10.30,10.26,10.26,+,0.03,10.26,13,10.28,1,"0.00"","
00652,IL,"218,154",37,"4,784,684",21.95,21.97,21.90,21.96,+,0.01,21.95,1,21.96,5,"0.00"","
00653L,IL2,"579,000",81,"15,053,930",26.05,26.20,25.97,26.04,+,0.02,26.04,4,26.05,102,"0.00"","
00654R,IL1,"27,000",6,"441,070",16.35,16.35,16.31,16.33, ,0.00,16.31,135,16.33,70,"0.00"","
00655L,A502,"2,880,000",492,"77,727,620",27.25,27.35,26.75,26.87,-,0.34,26.87,328,26.89,8,"0.00"","
00656R,A501,"30,000",6,"473,410",15.73,15.80,15.73,15.80,+,0.09,15.78,100,15.81,254,"0.00"","
00657,g225,"82,000",5,"1,970,660",24.05,24.05,24.01,24.05,-,0.15,24.03,20,24.10,25,"0.00"","
00658L,2,"29,000",8,"832,020",28.77,28.80,28.52,28.65,-,0.36,28.70,1,28.74,50,"0.00"","
00659R,1,"114,000",35,"1,730,500",15.14,15.20,15.14,15.17,+,0.08,15.14,53,15.17,4,"0.00"","
00660,jw50,"12,000",3,"298,560",24.88,24.88,24.88,24.88,-,0.17,24.90,10,24.92,50,"0.00"","
00661,jg225,"1,000",1,"25,040",25.04,25.04,25.04,25.04,X,0.00,24.73,20,24.95,50,"0.00"","
00662,INASDAQ,"99,078",23,"2,370,621",23.91,23.99,23.91,23.92,-,0.26,23.93,2,23.97,50,"0.00"","
00663L,OW[v2,"116,000",20,"3,169,540",27.36,27.40,27.18,27.40,+,0.04,27.42,200,27.44,200,"0.00"","
00664R,OW[v1,"2,199,000",180,"36,485,310",16.58,16.63,16.55,16.55,-,0.03,16.55,385,16.56,11,"0.00"","
00665L,IH2,"1,719,000",256,"42,876,070",25.35,25.35,24.79,24.82,-,0.51,24.82,1,24.87,100,"0.00"","
00666R,IH1,"269,000",27,"4,371,750",16.24,16.29,16.20,16.26,+,0.16,16.26,48,16.28,30,"0.00"","
00667,j,"178,000",30,"3,896,140",21.80,21.99,21.71,21.99,+,0.24,21.73,1,21.99,1,"0.00"","
00668,D,"175,000",11,"3,924,880",22.39,22.43,22.39,22.43,+,0.05,22.43,43,22.44,2,"0.00"","
00669R,D1,"494,000",84,"8,177,200",16.56,16.57,16.54,16.56,-,0.02,16.55,4,16.56,65,"0.00"","
00670L,INASDAQ2,"451,000",22,"10,287,570",22.88,22.88,22.72,22.80,-,0.34,22.76,150,22.78,50,"0.00"","
00671R,INASDAQ1,"698,000",42,"12,840,830",18.34,18.43,18.34,18.40,+,0.13,18.40,79,18.41,10,"0.00"","
00672L,jS&Po2,"106,359,998","12,835","1,311,551,063",12.39,12.39,12.30,12.32,-,0.70,12.31,702,12.32,"1,470","0.00"","
00673R,jS&Po1,"1,022,000",229,"23,344,840",22.75,22.87,22.75,22.85,+,0.64,22.82,98,22.85,89,"0.00"","
00674R,jS&P1,"83,000",28,"1,643,090",19.78,19.83,19.75,19.83,+,0.11,19.82,12,19.83,61,"0.00"","
00675L,IOW[v2,"2,075,000",159,"24,643,300",11.86,11.92,11.80,11.91,+,0.05,11.90,5,11.91,318,"0.00"","
00676R,IOW[v1,"4,203,000",220,"37,814,390",9.00,9.03,8.98,8.98, ,0.00,8.98,102,8.99,660,"0.00"","
00677U,IVIX,"6,272,000",637,"64,024,920",10.19,10.24,10.16,10.23,+,0.07,10.22,114,10.23,407,"0.00"","
00678,sqNBI,"75,301",21,"1,488,847",19.80,19.84,19.75,19.84,+,0.05,19.76,29,19.85,32,"0.00"","
00680L,j202,"116,000",27,"2,458,650",21.15,21.29,21.14,21.28,+,0.66,21.28,51,21.29,50,"0.00"","
00681R,j201,"31,000",9,"581,440",18.73,18.83,18.73,18.74,-,0.34,18.74,3,18.76,6,"0.00"","
00682U,j,"31,000",5,"588,060",18.99,18.99,18.96,18.96,-,0.02,18.96,6,19.00,100,"0.00"","
00683L,j2,"193,000",41,"3,517,000",18.20,18.24,18.18,18.22,-,0.02,18.22,30,18.27,60,"0.00"","
00684R,j1,"1,000",1,"20,720",20.72,20.72,20.72,20.72,+,0.03,20.66,100,20.70,1,"0.00"","
00685L,sqOW[v2,"276,000",18,"2,874,030",10.40,10.45,10.34,10.42,+,0.02,10.42,400,10.44,100,"0.00"","
00686R,sqOW[v1,"2,157,000",53,"21,086,600",9.78,9.81,9.76,9.76,-,0.02,9.76,215,9.77,100,"0.00"","
00688L,20~2,"996,000",44,"21,350,140",21.32,21.50,21.32,21.50,+,0.69,21.48,150,21.51,51,"0.00"","
00689R,20~1,"216,000",9,"4,105,890",19.01,19.01,18.97,18.97,-,0.31,18.97,148,19.00,150,"0.00"","
00690,w30,"951,000",86,"19,223,380",20.26,20.26,20.15,20.20,-,0.02,20.20,64,20.24,1,"0.00"","
00691R,w301,"113,000",11,"2,204,530",19.51,19.51,19.50,19.50,-,0.01,19.49,1,19.50,76,"0.00"","
00692,Iqvz,"1,537,068",216,"30,743,976",20.03,20.03,19.97,20.00, ,0.00,20.00,18,20.01,9,"0.00"","
00693U,yS&P,"1,397,000",86,"26,950,890",19.33,19.33,19.27,19.30,-,0.06,19.28,6,19.30,92,"0.00"","
008201,BPW50,"1,000",7,"84,560",84.80,84.80,84.50,84.50,-,1.50,84.50,11,85.00,4,"0.00"","
01001T,gIR1,"85,000",21,"1,180,750",13.91,13.91,13.85,13.90,-,0.01,13.81,10,13.95,16,"0.00"","
01002T,gR1,"220,000",50,"3,149,060",14.40,14.40,14.29,14.30,-,0.05,14.35,10,14.40,18,"0.00"","
01003T,sR1,"487,000",71,"6,856,830",14.08,14.10,14.05,14.08, ,0.00,14.08,41,14.09,10,"0.00"","
01004T,gIR2,"9,000",3,"115,960",12.83,12.90,12.83,12.90, ,0.00,12.83,9,12.90,22,"0.00"","
01007T,R2,"49,000",12,"693,450",14.17,14.17,14.13,14.13,-,0.02,14.13,7,14.17,11,"0.00"","
1101,xd,"5,056,038","2,884","171,148,092",34.25,34.25,33.50,34.00,-,0.25,33.90,22,34.00,157,"17.99"","
1102,d,"4,467,277","2,639","116,576,735",26.25,26.50,26.00,26.25,-,0.05,26.15,4,26.25,4,"22.25"","
1103,d,"198,433",74,"2,122,387",10.70,10.75,10.65,10.65, ,0.00,10.60,34,10.75,26,"66.56"","
1104,d,"157,446",81,"3,920,750",24.85,24.95,24.85,24.90, ,0.00,24.85,12,24.90,4,"9.61"","
1108,,"531,776",82,"4,970,615",9.34,9.43,9.33,9.42,+,0.08,9.40,2,9.42,1,"16.53"","
1109,Hj,"22,429",5,"229,975",10.30,10.30,10.25,10.25, ,0.00,10.25,20,10.30,10,"18.98"","
1110,Fd,"29,005",17,"445,525",15.40,15.40,15.25,15.40,+,0.05,15.25,1,15.40,12,"513.33"","
1201,,"399,221",219,"7,517,378",18.85,18.90,18.75,18.80,-,0.05,18.80,22,18.85,27,"0.00"","
1203,,"17,066",11,"419,132",24.55,24.60,24.50,24.60,+,0.05,24.55,4,24.65,1,"13.82"","
1210,j,"1,903,033","1,193","58,721,703",31.30,31.35,30.65,30.80,-,0.30,30.80,60,30.85,45,"10.20"","
1213,j,"10,042",11,"170,464",16.90,17.15,16.90,17.15,+,0.05,16.95,4,17.10,6,"63.52"","
1215,R,"1,480,721","1,009","101,787,280",69.20,69.20,68.10,68.90,+,0.10,68.80,15,68.90,3,"13.02"","
1216,@,"7,123,726","3,390","419,151,969",59.40,59.40,58.50,58.70,-,0.80,58.70,42,58.80,161,"22.75"","
1217,R,"2,998,583",875,"22,706,946",7.48,7.65,7.39,7.64,+,0.14,7.64,19,7.65,76,"33.22"","
1218,s,"8,270,606","2,480","140,773,442",16.80,17.50,16.60,16.85,+,0.55,16.85,126,16.90,28,"80.24"","
1219,,"33,295",34,"555,671",16.55,16.85,16.40,16.80,+,0.10,16.70,6,16.80,2,"35.00"","
1220,xa,"69,053",34,"734,266",10.65,10.70,10.55,10.70,+,0.05,10.65,4,10.70,37,"13.38"","
1225,o,"2,645",7,"136,485",51.70,51.70,51.70,51.70, ,0.00,51.70,2,52.30,3,"30.41"","
1227,,"460,852",414,"36,541,968",79.00,80.00,79.00,79.40,-,0.20,79.20,36,79.40,2,"29.85"","
1229,p,"1,311,592",725,"35,396,555",27.20,27.20,26.85,26.95,-,0.25,26.90,100,26.95,7,"10.82"","
1231,p,"106,092",85,"3,711,848",34.90,35.10,34.90,35.05,+,0.15,35.00,7,35.05,3,"12.89"","
1232,jq,"10,678",16,"983,577",92.10,92.10,92.10,92.10,+,0.10,92.10,1,92.20,1,"16.59"","
1233,,"79,002",13,"2,908,424",36.70,37.00,36.70,36.90,+,0.20,36.90,2,37.00,6,"20.39"","
1234,Q,"124,770",68,"4,149,212",33.40,33.45,33.10,33.45,+,0.05,33.20,43,33.45,1,"12.16"","
1235,,"9,150",8,"265,085",29.00,29.00,28.90,28.90,-,0.05,28.90,2,29.10,3,"9.48"","
1236,,"11,188",10,"192,564",17.20,17.30,17.20,17.30, ,0.00,17.20,2,17.40,4,"52.42"","
1256,AG-KY,"56,418",61,"7,784,392",140.00,140.00,137.00,137.50,-,4.00,137.50,3,138.00,1,"16.20"","
1262,-KY,"551,800",373,"69,085,500",125.00,126.50,124.00,125.00,+,1.00,124.50,14,125.00,5,"9.65"","
1301,x,"3,902,691","1,282","350,997,232",90.10,90.40,89.50,90.10,-,0.30,90.00,20,90.10,11,"13.17"","
1303,n,"3,369,531","1,296","242,960,167",72.30,72.30,71.70,72.30, ,0.00,72.30,32,72.40,382,"10.55"","
1304,xE,"488,679",185,"7,392,193",15.15,15.20,15.10,15.10,-,0.05,15.10,98,15.15,6,"12.91"","
1305,L,"700,729",433,"19,666,020",28.00,28.15,27.90,28.05,+,0.15,28.05,3,28.10,32,"8.15"","
1307,T,"143,286",60,"5,374,923",37.60,37.65,37.40,37.45,-,0.15,37.45,1,37.50,6,"12.48"","
1308,E,"432,997",196,"8,127,889",18.65,18.85,18.65,18.80,+,0.15,18.75,6,18.80,14,"13.15"","
1309,xF,"403,785",153,"3,803,138",9.50,9.50,9.39,9.39,-,0.11,9.39,22,9.43,25,"18.78"","
1310,xf,"8,495,302","2,294","203,293,852",24.05,24.05,23.75,24.00,-,0.10,24.00,34,24.05,165,"8.82"","
1312,,"4,983,350","2,368","100,871,316",20.55,20.55,20.10,20.25,-,0.25,20.25,21,20.30,23,"7.16"","
1312A,S,"1,000",1,"27,400",27.40,27.40,27.40,27.40,+,0.05,27.35,2,27.40,2,"0.00"","
1313,p,"750,727",300,"9,760,070",13.10,13.10,12.95,13.00,-,0.15,13.00,18,13.05,51,"10.83"","
1314,,"6,944,003","1,270","77,624,563",11.25,11.35,11.10,11.15,-,0.05,11.15,946,11.20,607,"159.29"","
1315,Fs,"11,000",9,"277,350",25.20,25.30,25.20,25.30,+,0.10,25.25,3,25.30,1,"17.82"","
1316,W`,"697,718",309,"16,939,295",24.60,24.60,23.90,24.45,-,0.30,24.40,17,24.45,22,"0.00"","
1319,F,"2,304,021","1,426","121,907,113",53.00,53.50,52.50,53.10,-,0.30,53.10,2,53.20,47,"13.58"","
1321,jv,"29,000",19,"737,650",25.45,25.60,25.40,25.60,+,0.10,25.50,1,25.65,3,"0.00"","
1323,,"54,200",45,"1,767,579",33.00,33.00,32.50,32.90,-,0.10,32.70,7,32.80,1,"11.11"","
1324,ay,"17,001",8,"222,213",13.20,13.20,13.00,13.00, ,0.00,13.00,2,13.10,3,"7.88"","
1325,j,"10,692",13,"225,900",21.20,21.25,21.05,21.25, ,0.00,21.10,3,21.25,12,"23.10"","
1326,x,"5,740,058","2,166","517,516,213",90.40,90.50,90.00,90.10,-,0.50,90.10,288,90.20,13,"10.79"","
1337,A-KY,"985,255",377,"13,066,459",13.35,13.40,13.20,13.25,-,0.10,13.25,13,13.30,44,"9.81"","
1338,s-KY,"502,000",369,"51,823,500",104.00,104.50,102.50,103.50, ,0.00,103.50,1,104.00,19,"12.73"","
1339,L,"45,000",35,"1,945,350",43.15,43.40,43.10,43.40,+,0.35,43.20,5,43.40,2,"13.56"","
1340,-KY,"331,270",174,"16,669,662",50.60,50.80,50.10,50.10,-,0.60,50.00,40,50.10,45,"7.18"","
1402,Fs,"4,691,979","2,149","112,013,585",24.05,24.15,23.75,23.90,-,0.25,23.85,81,23.90,613,"18.97"","
1409,s,"540,159",238,"4,745,335",8.85,8.85,8.77,8.78,-,0.07,8.78,6,8.79,12,"21.41"","
1410,nV,"120,113",53,"2,934,951",24.60,24.60,24.30,24.50,-,0.30,24.50,2,24.70,4,"16.90"","
1413,w,"60,077",16,"372,439",6.21,6.21,6.19,6.20,-,0.01,6.20,7,6.25,7,"0.00"","
1414,FM,"115,273",41,"758,363",6.62,6.62,6.56,6.59,+,0.01,6.57,5,6.59,3,"0.00"","
1416,s,"198,470",101,"5,477,899",27.50,27.80,27.45,27.50, ,0.00,27.50,29,27.60,1,"6.35"","
1417,,"316,397",103,"1,526,567",4.85,4.85,4.81,4.85,-,0.01,4.85,1,4.86,10,"0.00"","
1418,F,"29,002",13,"177,512",6.12,6.13,6.10,6.10,-,0.65,--,0,6.10,12,"0.00"","
1419,s,589,3,"23,264",--,--,--,--, ,0.00,39.50,10,39.95,1,"101.28"","
1423,Q,"129,000",36,"892,270",7.02,7.03,6.83,7.03,-,0.05,6.91,9,7.03,7,"175.75"","
