0050,jxW50,"1,240,823",521,"100,664,300",81.10,81.35,81.00,81.00,-,0.05,81.00,24,81.05,5,"0.00"","
0051,j100,"1,645",4,"51,651",31.40,31.40,31.40,31.40, ,0.00,31.13,100,31.40,7,"0.00"","
0052,I,"2,210",5,"116,208",52.40,52.70,52.40,52.70,+,0.80,52.70,1,52.90,1,"0.00"","
0053,jql,"3,000",3,"105,630",35.22,35.22,35.19,35.19,+,0.29,34.77,100,35.09,8,"0.00"","
0054,jx50,0,0,0,--,--,--,--, ,0.00,23.49,100,23.69,2,"0.00"","
0055,jMSCI,"186,000",29,"3,020,220",16.29,16.33,16.19,16.19,-,0.10,16.19,157,16.20,3,"0.00"","
0056,j,"407,545",320,"10,149,540",24.90,24.92,24.88,24.90, ,0.00,24.89,12,24.90,339,"0.00"","
0057,Ix,0,0,0,--,--,--,--, ,0.00,48.40,20,48.65,20,"0.00"","
0058,IoF,0,0,0,--,--,--,--, ,0.00,45.23,10,45.47,1,"0.00"","
0059,I,"4,000",3,"159,120",39.74,39.90,39.74,39.90,X,0.00,39.65,2,40.00,2,"0.00"","
0061,j_`,"3,837,437",714,"73,755,157",19.03,19.35,19.01,19.31,+,0.28,19.30,5,19.31,2,"0.00"","
006203,jMSCIxW,"2,000",2,"75,350",37.69,37.69,37.66,37.66,X,0.00,37.17,50,37.51,20,"0.00"","
006204,OW[v,"28,000",3,"1,467,600",52.40,52.50,52.35,52.35,X,0.00,52.05,20,52.25,100,"0.00"","
006205,IW,"7,570,643",708,"245,346,606",32.05,32.53,32.04,32.44,+,0.41,32.44,12,32.45,3,"0.00"","
006206,jW50,"1,193,304",277,"39,028,288",32.44,33.00,32.44,32.89,+,0.45,32.89,2,32.90,2,"0.00"","
006207,FH`,"3,950,843",260,"96,519,681",24.22,24.64,24.22,24.61,+,0.39,24.60,102,24.62,110,"0.00"","
006208,Ix50,"2,299",3,"105,674",46.00,46.00,45.98,45.98,X,0.00,45.71,3,45.98,2,"0.00"","
00625K,IW+R,"50,000",2,"356,500",7.13,7.13,7.13,7.13,-,0.02,7.15,50,7.25,50,"0.00"","
00631L,jxW502,"632,000",252,"21,623,830",34.10,34.36,34.09,34.18,+,0.03,34.16,1,34.18,18,"0.00"","
00632R,jxW501,"25,361,874","2,046","339,074,387",13.38,13.40,13.33,13.38, ,0.00,13.38,253,13.39,483,"0.00"","
00633L,IW2,"29,541,154","4,888","1,525,242,960",50.80,52.25,50.50,52.10,+,1.30,52.05,114,52.10,996,"0.00"","
00634R,IW1,"1,086,000",133,"7,562,380",7.05,7.05,6.92,6.95,-,0.07,6.94,207,6.95,72,"0.00"","
00635U,jS&P,"634,000",71,"12,480,320",19.66,19.71,19.66,19.68,+,0.03,19.68,11,19.69,3,"0.00"","
00636,A50,"5,831,732","1,092","124,643,262",21.15,21.51,21.15,21.44,+,0.30,21.43,120,21.44,246,"0.00"","
00636K,A50+U,"120,000",4,"862,800",7.19,7.19,7.19,7.19,+,0.12,7.01,101,7.19,101,"0.00"","
00637L,j`3002,"87,538,340","10,210","1,710,803,028",19.21,19.78,19.12,19.72,+,0.47,19.71,536,19.72,"2,763","0.00"","
00638R,j`3001,"382,000",56,"5,396,990",14.20,14.22,13.94,13.96,-,0.21,13.97,58,13.99,4,"0.00"","
00639,I`100,"11,335,626",644,"130,793,426",11.45,11.61,11.45,11.60,+,0.16,11.59,322,11.60,481,"0.00"","
00640L,I2,"609,000",55,"15,673,400",25.63,25.84,25.60,25.83,+,0.10,25.82,20,25.83,20,"0.00"","
00641R,I1,"356,000",65,"5,121,630",14.43,14.43,14.36,14.37,-,0.01,14.36,74,14.37,48,"0.00"","
00642U,jS&Po,"1,492,000",315,"26,343,658",17.65,17.67,17.65,17.65,+,0.08,17.65,648,17.66,212,"0.00"","
00643,sq`p,"1,311,542",239,"20,674,859",15.67,15.88,15.58,15.85,+,0.28,15.85,75,15.87,15,"0.00"","
00643K,sq`p+R,0,0,0,--,--,--,--, ,0.00,3.44,20,3.52,20,"0.00"","
00645,I,"90,020",32,"2,070,959",22.98,23.08,22.98,23.08,+,0.07,23.05,1,23.08,52,"0.00"","
00646,jS&P500,"136,000",48,"3,269,140",24.06,24.06,24.02,24.05,-,0.01,24.02,12,24.05,10,"0.00"","
00647L,jS&P5002,"118,000",14,"3,724,450",31.55,31.59,31.53,31.53,-,0.29,31.53,16,31.56,1,"0.00"","
00648R,jS&P5001,"332,000",64,"4,644,160",13.96,14.00,13.96,13.99,+,0.06,13.99,29,14.00,54,"0.00"","
00649,FH,"99,000",15,"2,079,020",20.94,21.08,20.94,21.05,+,0.03,21.03,52,21.09,30,"0.00"","
00650L,FH2,"44,000",21,"1,508,620",34.13,34.46,33.92,34.42,+,0.29,34.30,54,34.41,34,"0.00"","
00651R,FH1,"103,000",23,"896,860",8.75,8.76,8.66,8.67,-,0.05,8.68,53,8.71,52,"0.00"","
00652,IL,"74,176",21,"1,717,409",23.18,23.18,23.15,23.16,-,0.08,23.14,54,23.17,10,"0.00"","
00653L,IL2,"113,000",52,"3,263,310",28.94,28.96,28.78,28.86,-,0.09,28.86,77,28.87,10,"0.00"","
00654R,IL1,"68,000",12,"1,027,530",15.12,15.13,15.08,15.11,+,0.01,15.08,14,15.10,30,"0.00"","
00655L,A502,"10,657,350","2,912","404,164,758",37.30,38.35,37.07,38.22,+,0.99,38.22,4,38.23,174,"0.00"","
00656R,A501,"49,000",14,"632,770",13.01,13.01,12.82,12.82,-,0.17,12.83,109,12.85,84,"0.00"","
00657,g225,"1,000",1,"27,290",27.29,27.29,27.29,27.29,-,0.13,27.33,52,27.39,50,"0.00"","
00657K,g225+U,"160,000",4,"1,462,400",9.14,9.14,9.14,9.14, ,0.00,8.97,102,9.16,101,"0.00"","
00658L,2,"32,000",8,"1,208,400",37.60,37.83,37.60,37.83,-,0.09,37.81,51,37.84,10,"0.00"","
00659R,1,"110,000",5,"1,416,120",12.88,12.88,12.82,12.82,+,0.02,12.82,2,12.83,52,"0.00"","
00660,jw50,"28,000",7,"702,690",25.10,25.10,25.07,25.08,-,0.19,25.08,2,25.11,40,"0.00"","
00661,jg225,"2,000",2,"57,060",28.53,28.53,28.53,28.53,X,0.00,28.30,10,28.64,1,"0.00"","
00662,INASDAQ,"36,346",10,"965,557",26.55,26.58,26.50,26.50,-,0.20,26.53,1,26.55,15,"0.00"","
00663L,OW[v2,"330,000",40,"10,551,770",31.94,32.16,31.88,31.96, ,0.00,31.93,6,31.94,100,"0.00"","
00664R,OW[v1,"1,639,000",108,"24,772,460",15.13,15.14,15.07,15.13,+,0.01,15.12,100,15.13,6,"0.00"","
00665L,I2,"893,000",233,"28,032,930",31.36,31.76,30.82,31.65,+,0.30,31.65,1,31.66,100,"0.00"","
00666R,I1,"1,039,000",19,"14,383,390",14.00,14.04,13.84,13.84,-,0.11,13.86,20,13.89,20,"0.00"","
00667,j,"6,000",2,"144,220",23.72,24.10,23.72,24.10,+,0.04,23.78,1,23.98,10,"0.00"","
00668,D,"68,000",19,"1,757,670",25.90,25.90,25.83,25.83,-,0.07,25.83,25,25.84,5,"0.00"","
00668K,D+U,"148,000",9,"1,277,240",8.63,8.63,8.63,8.63,-,0.01,8.62,101,8.64,101,"0.00"","
00669R,D1,"795,000",98,"11,177,910",14.06,14.08,14.05,14.05,+,0.04,14.05,334,14.07,50,"0.00"","
00670L,INASDAQ2,"53,000",11,"1,509,110",28.43,28.50,28.42,28.43,-,0.31,28.42,1,28.43,148,"0.00"","
00671R,INASDAQ1,"158,000",19,"2,527,020",16.00,16.00,15.98,15.99,+,0.06,15.99,14,16.00,2,"0.00"","
00672L,jS&Po2,"7,319,514","1,152","135,988,269",18.57,18.60,18.55,18.57,+,0.18,18.57,"1,151",18.58,239,"0.00"","
00673R,jS&Po1,"1,879,000",242,"33,052,050",17.60,17.61,17.57,17.61,-,0.05,17.60,20,17.61,641,"0.00"","
00674R,jS&P1,"4,000",4,"78,440",19.62,19.62,19.60,19.61,-,0.05,19.60,5,19.62,49,"0.00"","
00675L,IOW[v2,"232,000",57,"3,217,460",13.85,13.94,13.83,13.85, ,0.00,13.85,2,13.86,161,"0.00"","
00676R,IOW[v1,"1,897,000",149,"15,557,600",8.20,8.22,8.18,8.19,-,0.01,8.19,"1,024",8.20,40,"0.00"","
00677U,IVIX,"10,762,020",719,"57,316,240",5.33,5.34,5.31,5.33,+,0.06,5.32,145,5.33,138,"0.00"","
00678,sqNBI,"422,000",33,"9,005,500",21.21,21.39,21.21,21.33,+,0.12,21.34,2,21.36,50,"0.00"","
00680L,j202,"7,000",4,"142,700",20.42,20.42,20.38,20.38,-,0.39,20.34,20,20.42,10,"0.00"","
00681R,j201,"7,000",3,"130,650",18.67,18.67,18.64,18.64,+,0.07,18.64,2,18.70,25,"0.00"","
00682U,j,"20,000",12,"365,930",18.30,18.33,18.28,18.29,-,0.03,18.29,1,18.30,6,"0.00"","
00683L,j2,"197,000",72,"3,341,710",17.00,17.00,16.94,16.96,-,0.06,16.97,3,16.98,1,"0.00"","
00684R,j1,0,0,0,--,--,--,--, ,0.00,21.00,55,21.10,5,"0.00"","
00685L,sqOW[v2,"124,000",9,"1,504,470",12.10,12.19,12.10,12.14,+,0.04,12.11,100,12.14,185,"0.00"","
00686R,sqOW[v1,"1,043,000",40,"9,313,670",8.93,8.94,8.91,8.93, ,0.00,8.93,3,8.94,830,"0.00"","
00688L,20~2,"206,000",8,"4,268,080",20.70,20.73,20.65,20.73,-,0.32,20.70,1,20.73,51,"0.00"","
00689R,20~1,"202,000",4,"3,848,100",19.06,19.06,19.04,19.05,+,0.15,19.04,2,19.06,20,"0.00"","
00690,w30,"627,000",40,"13,129,170",20.90,20.95,20.90,20.92,-,0.03,20.91,1,20.92,1,"0.00"","
00691R,w301,"1,000",1,"17,870",17.87,17.87,17.87,17.87,X,0.00,17.88,70,17.94,120,"0.00"","
00692,Iqvz,"1,038,732",91,"21,421,724",20.62,20.64,20.59,20.59, ,0.00,20.59,8,20.60,5,"0.00"","
00693U,yS&P,"255,000",100,"4,906,530",19.22,19.26,19.22,19.26,-,0.05,19.25,18,19.26,176,"0.00"","
00698L,j7-102,0,0,0,--,--,--,--, ,0.00,18.79,44,18.87,20,"0.00"","
00699R,j7-101,"3,000",2,"60,240",20.08,20.08,20.08,20.08,X,0.00,20.06,20,20.15,20,"0.00"","
00700,I,"11,000",5,"226,690",20.41,20.69,20.41,20.69,+,0.07,20.63,50,20.69,20,"0.00"","
00701,OWCi30,"69,000",13,"1,386,290",20.10,20.13,20.08,20.10,+,0.02,20.07,1,20.10,302,"0.00"","
00702,Ci,"37,048",13,"776,708",20.96,20.98,20.96,20.96,-,0.11,20.94,5,20.97,300,"0.00"","
00703,xsMSCI,"673,000",186,"14,625,990",21.56,21.88,21.56,21.84,+,0.26,21.82,34,21.84,10,"0.00"","
00704L,xsMSCIxW2,"261,000",8,"5,203,260",19.86,19.99,19.86,19.88,+,0.01,19.85,51,19.88,100,"0.00"","
00705R,xsMSCIxW1,"60,000",2,"1,166,700",19.43,19.52,19.43,19.52, ,0.00,19.51,50,19.54,100,"0.00"","
00706L,jS&P2,"188,000",56,"3,504,380",18.66,18.66,18.61,18.62,-,0.12,18.61,8,18.62,244,"0.00"","
00707R,jS&P1,"6,000",3,"122,810",20.45,20.49,20.45,20.49,+,0.09,20.46,50,20.49,98,"0.00"","
00708L,jS&P2,"642,000",181,"11,829,790",18.38,18.45,18.38,18.44,+,0.12,18.43,63,18.44,38,"0.00"","
00709,Iw,"99,000",9,"2,030,580",20.51,20.54,20.51,20.51,-,0.15,20.47,6,20.54,85,"0.00"","
00710B,FH^q,"2,000",1,"39,680",19.84,19.84,19.84,19.84,-,0.09,19.85,54,19.91,74,"0.00"","
00711B,FH^s,"1,000",1,"20,240",20.24,20.24,20.24,20.24,-,0.02,20.21,46,20.24,20,"0.00"","
00712,FHI,"2,000",1,"38,580",19.29,19.29,19.29,19.29,+,0.11,19.25,20,19.29,10,"0.00"","
00713,jxWCi,"860,100",34,"25,923,710",30.12,30.16,30.07,30.14,-,0.04,30.14,2,30.19,1,"0.00"","
00714,sqDa,"612,000",11,"12,142,200",19.85,19.85,19.84,19.84,-,0.13,19.82,2,19.85,10,"0.00"","
00715L,yS&PS2,"942,000",47,"20,062,510",21.39,21.39,21.28,21.34,+,0.35,21.32,1,21.34,60,"0.00"","
00716R,yS&PS1,"648,000",16,"12,354,950",19.05,19.08,19.05,19.07,-,0.15,19.06,3,19.07,20,"0.00"","
00717,ISO,"1,439,000",197,"28,684,720",19.97,19.97,19.91,19.92,-,0.07,19.92,12,19.94,4,"0.00"","
008201,BPW50,"13,900",26,"1,431,850",102.00,103.90,102.00,103.90,+,1.40,102.50,10,103.25,5,"0.00"","
01001T,gIR1,"21,000",6,"269,910",12.85,12.88,12.85,12.88,+,0.02,12.85,3,12.88,52,"0.00"","
01002T,gR1,"344,000",56,"4,575,130",13.31,13.31,13.29,13.30, ,0.00,13.29,4,13.30,103,"0.00"","
01003T,sR1,"246,000",35,"3,568,000",14.50,14.51,14.50,14.50, ,0.00,14.50,68,14.52,50,"0.00"","
01004T,gIR2,"24,000",5,"272,820",11.34,11.37,11.34,11.37, ,0.00,11.36,5,11.37,63,"0.00"","
