0050,jxW50,"3,401,430","1,167","278,923,482",82.15,82.30,81.60,82.20,+,0.70,82.20,7,82.25,133,"0.00"","
0051,j100,"10,226",13,"331,733",32.53,32.53,32.26,32.27,-,0.04,32.27,49,32.57,8,"0.00"","
0052,I,"14,050",14,"796,216",56.80,56.80,56.45,56.65,+,0.25,56.45,3,56.65,2,"0.00"","
0053,jql,"42,002",10,"1,526,598",36.72,36.72,36.04,36.04,+,0.04,36.04,2,36.39,10,"0.00"","
0054,jx50,26,3,553,--,--,--,--, ,0.00,23.76,50,23.98,8,"0.00"","
0055,jMSCI,"28,005",18,"466,322",16.61,16.66,16.61,16.66,+,0.08,16.65,50,16.70,2,"0.00"","
0056,j,"795,830",577,"20,614,660",25.95,25.96,25.85,25.95,+,0.03,25.93,1,25.95,9,"0.00"","
0057,Ix,"22,002",6,"1,110,652",50.65,50.65,50.40,50.50,+,0.30,50.35,20,50.55,10,"0.00"","
0058,IoF,"2,000",2,"91,310",45.69,45.69,45.62,45.62,+,0.05,45.78,2,46.19,1,"0.00"","
0059,I,"1,000",1,"41,280",41.28,41.28,41.28,41.28,+,0.09,39.65,4,41.28,1,"0.00"","
0061,j_`,"1,397,153",289,"25,833,756",18.30,18.62,18.30,18.52,+,0.07,18.52,46,18.53,44,"0.00"","
006203,jMSCIxW,"2,002",4,"76,456",38.16,38.22,38.16,38.22,+,0.12,38.11,20,38.47,20,"0.00"","
006204,OW[v,"3,000",3,"161,700",53.70,54.00,53.70,54.00,X,0.00,53.80,20,54.00,99,"0.00"","
006205,IW,"5,754,363",672,"180,242,255",31.18,31.53,31.10,31.34,+,0.16,31.33,3,31.34,282,"0.00"","
006206,jW50,"840,157",296,"26,352,875",31.13,31.61,31.11,31.37,+,0.24,31.33,1,31.37,3,"0.00"","
006207,FH`,"747,209",117,"17,766,325",23.65,23.87,23.55,23.67,+,0.02,23.67,46,23.71,52,"0.00"","
006208,Ix50,"65,170",32,"3,120,139",47.80,48.04,47.79,48.04,+,0.24,47.88,5,48.09,1,"0.00"","
